ANO_LETIVO;CODIGO_CIE;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS;ENSINO_MEDIO
2018;907200;35907200;20202;GUARATINGUETA;REGINA BARTELEGA DA CUNHA M JUNQUEIRA ORTIZ MONTEIRO;LORENA;;1.7900000000;1.4600000000
2018;16792;35016792;20310;VOTORANTIM;ANCHIETA PADRE;PILAR DO SUL;;3.3300000000;3.2000000000
2018;916080;35916080;21006;TUPA;MARIO FIORANTE PROFESSOR;RANCHARIA;;3.3400000000;
2018;917266;35917266;20205;SAO JOSE DOS CAMPOS;XENOFONTE STRABAO DE CASTRO PROFESSOR;SAO JOSE DOS CAMPOS;6.2500000000;3.8500000000;2.1900000000
2018;351064;35351064;20205;SAO JOSE DOS CAMPOS;SONIA MARIA ALEXANDRE PEREIRA PROFESSORA;SAO JOSE DOS CAMPOS;;;
2018;47961;35047961;20205;SAO JOSE DOS CAMPOS;IRACEMA RIBEIRO DE FREITAS;SAO JOSE DOS CAMPOS;7.3700000000;;
2018;35397;35035397;20205;SAO JOSE DOS CAMPOS;JUVENAL MACHADO DE ARAUJO PROFESSOR;SAO JOSE DOS CAMPOS;6.3500000000;3.3700000000;2.9000000000
2018;13572;35013572;20205;SAO JOSE DOS CAMPOS;ANA CANDIDA DE BARROS MOLINA PROFESSORA;SAO JOSE DOS CAMPOS;;3.4500000000;3.3200000000
2018;13559;35013559;20205;SAO JOSE DOS CAMPOS;JORGE BARBOSA MOREIRA PROFESSOR;SAO JOSE DOS CAMPOS;5.2300000000;3.0600000000;2.1300000000
2018;907789;35907789;20511;TAQUARITINGA;CELSO BARBIERI DR;DOBRADA;5.3800000000;;
2018;9945;35009945;10702;ITAPECERICA DA SERRA;CARLOS ALBERTO PEREIRA;ITAPECERICA DA SERRA;;4.8700000000;
2018;44854;35044854;10702;ITAPECERICA DA SERRA;ANTONIO FLORENTINO;ITAPECERICA DA SERRA;;3.3900000000;3.0800000000
2018;40745;35040745;10702;ITAPECERICA DA SERRA;EDUARDO ROBERTO DAHER;ITAPECERICA DA SERRA;6.9400000000;2.4700000000;2.1600000000
2018;40721;35040721;10702;ITAPECERICA DA SERRA;SALVADOR DE LEONE;ITAPECERICA DA SERRA;;4.5800000000;2.7600000000
2018;902159;35902159;10702;ITAPECERICA DA SERRA;MARIA OLIMPIA DE SOUZA QUEIROZ MACIEL;ITAPECERICA DA SERRA;;2.2700000000;2.2600000000
2018;47053;35047053;20417;CAMPINAS LESTE;JULIA CALHAU RODRIGUES PROFESSORA;JAGUARIUNA;;;2.7800000000
2018;924313;35924313;20307;SAO ROQUE;LAERCIO SURIM;VARGEM GRANDE PAULISTA;;2.8600000000;2.1700000000
2018;29798;35029798;20802;ARACATUBA;MANOEL BENTO DA CRUZ;ARACATUBA;;2.6100000000;3.2400000000
2018;48513;35048513;20802;ARACATUBA;ALTINA MORAES SAMPAIO PROFA;ARACATUBA;;4.0600000000;
2018;29737;35029737;20802;ARACATUBA;LICOLINA VILLELA REIS ALVES PROFA;ARACATUBA;;4.3800000000;3.9500000000
2018;923000;35923000;21003;MARILIA;EDSON VIANEI ALVES PROF;MARILIA;;;3.9000000000
2018;33736;35033736;21003;MARILIA;CARLOTA DE NEGREIROS ROCHA PROFA;MARILIA;7.1800000000;;
2018;914198;35914198;21003;MARILIA;AMELIA LOPES ANDERS PROFA;MARILIA;;3.4800000000;2.2400000000
2018;47855;35047855;21003;MARILIA;MARIA CECILIA FERRAZ DE FREITAS PROFA;MARILIA;;3.8300000000;2.4300000000
2018;33716;35033716;21003;MARILIA;GERALDO ZANCOPE PROF;MARILIA;6.1600000000;;
2018;901398;35901398;20102;SANTOS;ARCHIMEDES BAVA PROFESSOR;BERTIOGA;;1.9600000000;1.7800000000
2018;6476;35006476;20207;JACAREI;AMADEU RODRIGUES NORTE;ARUJA;;4.6200000000;3.0900000000
2018;921051;35921051;20207;JACAREI;MARIA ISABEL NEVES BASTOS PROFA;ARUJA;;3.0000000000;2.8700000000
